Referee_ID,Name,Nationality
HUN_9,MARTON Sandor,HUN
IND_1,KOMALEESWARAN Sankar,IND
IRL_1,FOLEY Eddie,IRL
IRN_1,NAMDAR Jafar,IRN
IRN_2,FANAEI Mohammad,IRN
IRN_3,KAMRANIFAR Hassan,IRN
ISR_1,ASHKENAZI Menachem,ISR
ISR_2,KLEIN Abraham,ISR
ITA_1,BONIVENTO Ferruccio,ITA
ITA_10,SASSI Otello,ITA
ITA_11,SCARPI Giuseppe,ITA
ITA_12,DATTILO Generoso,ITA
ITA_13,GALEATI Giovanni,ITA
ITA_14,ORLANDINI Vincenzo,ITA
ITA_15,JONNI Cesare,ITA
ITA_16,LO BELLO Concetto,ITA
ITA_17,SBARDELLA Antonio,ITA
ITA_18,ANGONESE Aurelio,ITA
ITA_19,GONELLA Sergio,ITA
ITA_2,SCORZONI Raffaele,ITA
ITA_20,CASARIN Paolo,ITA
ITA_21,AGNOLIN Luigi,ITA
ITA_22,LO BELLO Rosario,ITA
ITA_23,MAGNI Pierluigi,ITA
ITA_24,LONGHI Carlo,ITA
ITA_25,D ELIA Pietro,ITA
ITA_26,LANESE Tullio,ITA
ITA_27,RAMICONE Domenico,ITA
ITA_28,BALDAS Fabio,ITA
ITA_29,PAIRETTO Pierluigi,ITA
ITA_3,TURBIANI Giuseppe,ITA
ITA_30,COLLINA Pierluigi,ITA
ITA_31,MAZZEI Gennaro,ITA
ITA_32,ROSETTI Roberto,ITA
ITA_33,COPELLI Cristiano,ITA
ITA_34,STAGNOLI Alessandro,ITA
ITA_35,AYROLDI Stefano,ITA
ITA_36,CALCAGNO Paolo,ITA
ITA_37,Nicola RIZZOLI,ITA
ITA_38,Renato FAVERANI,ITA
ITA_39,Andrea STEFANI,ITA
ITA_4,CAIRONI Camillo,ITA
ITA_5,CARRARO Albino,ITA
ITA_6,MATTEA Francesco,ITA
ITA_7,BARLASSINA Rinaldo,ITA
ITA_8,CARMINATI Ettore,ITA
ITA_9,MELANDRI Ermenegildo,ITA
JAM_1,POWELL Owen,JAM
JAM_2,PRENDERGAST Peter,JAM
JOR_1,HASSOUNEH Awni,JOR
JPN_1,MARUYAMA Yoshiyuki,JPN
JPN_2,TAKADA Shizuo,JPN
