eventid,iyear,imonth,iday,extended,country,region,latitude,longitude,specificity,vicinity,crit1,crit2,crit3,multiple,success,suicide,attacktype1,attacktype2,targtype1,targsubtype1,natlty1,targtype2,targsubtype2,natlty2,gname,individual,nperps,nperpcap,claimed,claimmode,weaptype1,weapsubtype1,weaptype2,weapsubtype2,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propvalue,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,hostkidoutcome,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY
2.00302E+11,2003,2,7,0,186,6,8.885503,80.276733,4,0,1,1,1,0,1,1,3,,7,47,999,,,,Liberation Tigers of Tamil Eelam (LTTE),0,3,0,1,9,6,15,,,3,0,3,0,0,0,1,3,,0,,,,,,,,,,,,,,0,1,1,1
2.00304E+11,2003,4,22,0,186,6,8.403497,81.324814,1,0,1,1,1,0,1,0,2,,14,69,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,-99,0,0,,5,5,9,23,1,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00305E+11,2003,5,2,0,4,6,32.322649,65.118402,1,0,1,1,1,0,1,0,3,,21,107,4,,,,Taliban,0,,60,0,,6,11,,,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00306E+11,2003,6,23,0,186,6,6.855948,79.862968,1,0,1,1,1,0,1,0,1,,3,25,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,1,1,-9,,5,3,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00307E+11,2003,7,25,0,4,6,31.631083,65.742226,1,1,1,1,1,1,1,0,3,,3,22,4,,,,Taliban,0,,0,0,,6,8,,,0,0,0,2,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.00307E+11,2003,7,25,0,4,6,31.643056,65.640833,2,0,1,1,1,1,1,0,3,,3,22,4,,,,Taliban,0,,0,0,,6,8,6,11,0,0,0,1,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.00307E+11,2003,7,29,0,4,6,31.631083,65.742226,1,1,1,1,1,0,1,0,2,,14,73,4,4,29,4,Taliban,0,30,0,-9,,5,5,,,1,0,0,0,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.0031E+11,2003,10,12,0,95,10,33.303566,44.371773,1,0,1,1,1,0,1,1,3,,1,8,95,,,,Al-Qaida in Iraq,0,1,0,1,10,6,15,,,7,0,1,35,2,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.00311E+11,2003,11,8,1,4,6,32.100204,66.901016,1,0,1,1,1,0,1,0,2,6,2,21,4,14,67,4,Taliban,0,,0,0,,13,,,,8,0,7,0,0,0,1,3,,1,4,0,,-99,,,0,,,,,7,-99,0,0,0,0
2.00311E+11,2003,11,9,0,4,6,32.100204,66.901016,1,0,1,1,1,0,1,0,3,,2,18,4,,,,Taliban,0,,0,0,,6,12,,,0,0,0,0,0,0,1,4,,0,,,,,,,,,,,,,,0,0,0,0
2.00311E+11,2003,11,20,0,209,10,41.106178,28.689863,1,0,1,1,1,1,1,1,3,,7,46,216,,,,Al-Qaida,0,,,1,10,6,15,,,16,0,1,224,0,0,1,4,,0,,,,,,,,,,,,,,0,1,1,1
2.00311E+11,2003,11,20,0,209,10,41.106178,28.689863,1,0,1,1,1,1,1,1,3,,1,3,422,14,67,422,Al-Qaida,0,,,1,10,6,15,,,16,0,1,224,0,0,1,4,,0,,,,,,,,,,,,,,0,1,1,1
2.00311E+11,2003,11,22,0,4,6,34.516895,69.147011,1,0,1,1,1,0,1,0,3,,1,8,4,,,,Taliban,0,,0,1,8,6,16,,,0,0,0,0,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.00312E+11,2003,12,4,0,4,6,32.495328,62.262663,4,0,1,1,1,0,1,0,2,,2,18,4,7,47,999,Taliban,0,,2,1,2,5,2,,,1,0,0,11,0,0,-9,,,0,,,,,,,,,,,,,,0,1,1,1
2.00312E+11,2003,12,6,1,4,6,32.191878,67.189449,4,0,1,1,1,0,1,0,6,,1,12,217,14,77,92,Taliban,0,,0,1,10,13,,,,0,0,0,0,0,0,-9,4,,1,2,0,,18,,,0,,,,,2,2,0,1,1,1
2.00312E+11,2003,12,6,0,4,6,31.631083,65.742226,1,0,1,1,1,0,1,0,3,,14,74,4,,,,Taliban,0,,0,0,,6,16,,,0,0,0,18,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.00312E+11,2003,12,16,0,4,6,34.516895,69.147011,1,0,1,1,1,0,1,0,3,,14,68,4,,,,Taliban,0,,0,1,2,6,11,,,0,0,0,0,0,0,1,4,,0,,,,,,,,,,,,,,0,0,0,0
2.00402E+11,2004,2,18,0,4,6,33.492805,68.374321,1,0,1,1,1,0,1,0,9,,4,29,217,4,34,4,Taliban,0,,0,1,10,13,,,,24,9,0,10,10,0,-9,,,0,,,,,,,,,,,,,,0,1,1,1
2.00403E+11,2004,3,6,0,4,6,32.100204,66.901016,1,1,1,1,1,0,1,0,2,,12,62,422,,,,Taliban,0,2,8,0,,5,5,,,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,0,1,1,1
2.00404E+11,2004,4,10,1,4,6,32.741089,66.29187,1,0,1,1,1,0,1,0,6,,2,20,4,,,,Taliban,0,,0,1,2,13,,,,3,0,0,0,0,0,0,,,1,3,0,,6,,,0,,,,,4,0,0,0,0,0
2.00404E+11,2004,4,14,0,4,6,32.715364,69.281948,1,0,1,1,1,0,1,0,2,,14,67,4,,,,Taliban,0,5,0,0,,5,5,,,7,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.00404E+11,2004,4,16,1,4,6,32.50281,67.415452,3,0,1,1,1,0,1,0,6,,8,48,4,,,,Taliban,0,,0,0,,13,,,,0,0,0,0,0,0,0,,,1,5,0,,-99,,,0,,,,,7,-99,0,0,0,0
